case_id,witness_type,reliability_rating
20251030-0254,Expert,High
20251030-0256,Expert,High
20251030-0257,Expert,Medium
20251030-0257,Witness,Low
20251030-0257,Expert,High
20251030-0257,Expert,Low
20251030-0258,Victim,High
20251030-0260,Victim,Low
20251030-0260,Victim,High
20251030-0260,Witness,Low
20251030-0260,Expert,Medium
20251030-0261,Witness,High
20251030-0261,Expert,High
20251030-0261,Witness,High
20251030-0263,Expert,High
20251030-0263,Expert,Low
20251030-0263,Witness,High
20251030-0263,Expert,Medium
20251030-0266,Expert,Low
20251030-0266,Witness,Medium
20251030-0267,Victim,Low
20251030-0270,Witness,Low
20251030-0270,Victim,Low
20251030-0270,Expert,Low
20251030-0271,Expert,Medium
20251030-0271,Expert,Medium
20251030-0271,Expert,Medium
20251030-0271,Witness,High
20251030-0273,Victim,Medium
20251030-0273,Expert,Medium
20251030-0273,Expert,Medium
20251030-0273,Witness,Medium
20251030-0274,Witness,Medium
20251030-0274,Expert,Medium
20251030-0275,Expert,High
20251030-0275,Expert,Medium
20251030-0275,Expert,Low
20251030-0277,Expert,Medium
20251030-0277,Victim,Medium
20251030-0279,Victim,Medium
20251030-0279,Victim,High
20251030-0279,Witness,Low
20251030-0280,Witness,Medium
20251030-0280,Victim,Medium
20251030-0280,Expert,High
20251030-0280,Expert,High
20251030-0285,Victim,Low
20251030-0286,Expert,Medium
20251030-0289,Expert,Low
20251030-0289,Witness,Low
20251030-0290,Victim,High
20251030-0290,Victim,Medium
20251030-0291,Witness,High
20251030-0294,Witness,High
20251030-0294,Witness,Low
20251030-0294,Victim,Low
20251030-0294,Victim,High
20251030-0295,Witness,High
20251030-0295,Witness,High
20251030-0295,Victim,Medium
20251030-0296,Expert,Medium
20251030-0297,Witness,Low
20251030-0297,Expert,Low
20251030-0298,Victim,High
20251030-0298,Victim,High
20251030-0298,Expert,High
20251030-0301,Expert,Low
20251030-0301,Expert,High
20251030-0301,Victim,High
20251030-0302,Expert,High
20251030-0302,Expert,Medium
20251030-0302,Victim,High
20251030-0302,Victim,Medium
20251030-0303,Expert,Low
20251030-0304,Witness,Medium
20251030-0304,Victim,Medium
20251030-0304,Expert,Medium
20251030-0304,Witness,Medium
20251030-0306,Witness,Medium
20251030-0306,Witness,Medium
20251030-0306,Expert,High
20251030-0306,Victim,Low
20251030-0307,Victim,Medium
20251030-0307,Witness,High
20251030-0307,Victim,Medium
20251030-0307,Witness,Low
20251030-0308,Witness,Medium
20251030-0308,Witness,Low
20251030-0308,Expert,Low
20251030-0309,Expert,High
20251030-0310,Expert,High
20251030-0310,Victim,Low
20251030-0310,Witness,Medium
20251030-0311,Victim,Medium
20251030-0313,Victim,Low
20251030-0313,Witness,Low
20251030-0313,Witness,Low
20251030-0313,Expert,Low
20251030-0314,Victim,Low
20251030-0314,Victim,Low
20251030-0314,Victim,Medium
20251030-0314,Witness,Low
20251030-0316,Witness,Medium
20251030-0316,Witness,High
20251030-0316,Witness,High
20251030-0316,Victim,Medium
20251030-0317,Victim,High
20251030-0318,Victim,High
20251030-0318,Witness,Low
20251030-0318,Victim,Medium
20251030-0318,Victim,High
20251030-0319,Expert,High
20251030-0320,Witness,Low
20251030-0323,Witness,High
20251030-0323,Witness,High
20251030-0324,Victim,Medium
20251030-0324,Witness,Medium
20251030-0326,Victim,Low
20251030-0326,Victim,High
20251030-0328,Victim,Medium
20251030-0328,Witness,Medium
20251030-0329,Expert,Medium
20251030-0330,Witness,Low
20251030-0330,Witness,Medium
20251030-0330,Expert,Low
20251030-0331,Witness,Low
20251030-0331,Victim,Low
20251030-0331,Witness,Medium
20251030-0331,Expert,Medium
20251030-0332,Witness,Medium
20251030-0333,Witness,Medium
20251030-0333,Victim,High
20251030-0333,Expert,Low
20251030-0334,Victim,High
20251030-0334,Witness,Medium
20251030-0335,Witness,Low
20251030-0335,Victim,Medium
20251030-0335,Victim,Low
20251030-0335,Expert,Low
20251030-0337,Expert,Low
20251030-0337,Victim,High
20251030-0337,Victim,High
20251030-0337,Victim,Medium
20251030-0340,Witness,Low
20251030-0340,Victim,Low
20251030-0340,Victim,Medium
20251030-0341,Victim,Low
20251030-0342,Expert,Medium
20251030-0342,Victim,Medium
20251030-0342,Victim,Low
20251030-0343,Victim,Medium
20251030-0343,Victim,Medium
20251030-0343,Expert,High
20251030-0344,Witness,Low
20251030-0346,Victim,Low
20251030-0346,Expert,Medium
20251030-0348,Witness,High
20251030-0349,Victim,Low
20251030-0349,Expert,Medium
20251030-0350,Expert,Low
20251030-0350,Witness,High
20251030-0350,Witness,High
20251030-0353,Witness,Low
20251030-0353,Expert,High
20251030-0353,Victim,High
20251030-0353,Expert,High
20251030-0354,Expert,Low
20251030-0354,Witness,High
20251030-0355,Witness,High
20251030-0355,Victim,Low
20251030-0355,Witness,Medium
20251030-0355,Victim,Medium
20251030-0356,Expert,High
20251030-0356,Victim,Low
20251030-0356,Expert,High
20251030-0356,Victim,High
20251030-0358,Witness,High
20251030-0358,Witness,High
20251030-0358,Witness,Low
20251030-0364,Victim,Medium
20251030-0364,Victim,Low
20251030-0364,Witness,Low
20251030-0364,Expert,Medium
20251030-0365,Expert,High
20251030-0366,Expert,High
20251030-0368,Expert,High
20251030-0368,Victim,Medium
20251030-0374,Victim,High
20251030-0374,Witness,High
20251030-0375,Victim,High
20251030-0375,Victim,Low
20251030-0377,Witness,Medium
20251030-0381,Witness,Medium
20251030-0381,Victim,High
20251030-0381,Victim,Low
20251030-0381,Victim,High
20251030-0382,Expert,High
20251030-0382,Victim,High
20251030-0383,Witness,High
20251030-0383,Expert,High
20251030-0383,Witness,Medium
20251030-0385,Expert,Medium
20251030-0388,Expert,Medium
20251030-0388,Witness,Low
20251030-0388,Witness,High
20251030-0390,Victim,High
20251030-0390,Witness,High
20251030-0390,Witness,Medium
20251030-0390,Expert,High
20251030-0391,Victim,Medium
20251030-0391,Witness,High
20251030-0391,Witness,Low
20251030-0391,Victim,Low
20251030-0393,Witness,Medium
20251030-0393,Witness,Low
20251030-0393,Witness,High
20251030-0393,Expert,Low
20251030-0395,Expert,Low
20251030-0395,Witness,Low
20251030-0396,Witness,Low
20251030-0396,Expert,High
20251030-0396,Victim,Medium
20251030-0399,Expert,High
20251030-0399,Expert,High
20251030-0399,Witness,Low
20251030-0399,Victim,High
20251030-0400,Expert,Medium
20251030-0400,Expert,High
20251030-0401,Victim,Medium
20251030-0401,Victim,Medium
20251030-0402,Witness,High
20251030-0402,Witness,High
20251030-0402,Expert,Medium
20251030-0402,Expert,Low
20251030-0403,Victim,Medium
20251030-0403,Expert,Medium
20251030-0405,Expert,High
20251030-0405,Expert,High
20251030-0405,Expert,High
20251030-0406,Expert,High
20251030-0407,Witness,Medium
20251030-0407,Witness,Medium
20251030-0408,Witness,Medium
20251030-0409,Witness,Medium
20251030-0409,Victim,Low
20251030-0409,Witness,High
20251030-0410,Victim,Low
20251030-0410,Witness,High
20251030-0410,Expert,Medium
20251030-0410,Expert,Medium
20251030-0411,Victim,Low
20251030-0411,Victim,Medium
20251030-0411,Expert,High
20251030-0411,Witness,Medium
20251030-0412,Expert,High
20251030-0412,Witness,High
20251030-0412,Victim,Medium
20251030-0413,Witness,High
20251030-0413,Victim,Medium
20251030-0413,Expert,Low
20251030-0414,Expert,Medium
20251030-0414,Victim,Medium
20251030-0416,Witness,Medium
20251030-0416,Victim,Low
20251030-0416,Victim,Low
20251030-0416,Victim,Low
20251030-0419,Victim,High
20251030-0420,Victim,High
20251030-0420,Victim,Medium
20251030-0422,Victim,Low
20251030-0422,Witness,High
20251030-0423,Victim,Medium
20251030-0427,Expert,Medium
20251030-0427,Expert,Medium
20251030-0427,Expert,Low
20251030-0427,Victim,Low
20251030-0432,Expert,High
20251030-0432,Expert,Low
20251030-0433,Victim,Medium
20251030-0433,Victim,Medium
20251030-0434,Victim,Medium
20251030-0434,Witness,High
20251030-0434,Witness,Medium
20251030-0434,Witness,Medium
20251030-0435,Expert,High
20251030-0435,Victim,High
20251030-0435,Expert,Low
20251030-0435,Witness,High
20251030-0436,Witness,Medium
20251030-0436,Witness,Low
20251030-0437,Victim,Medium
20251030-0437,Expert,High
20251030-0437,Witness,Medium
20251030-0438,Expert,Low
20251030-0438,Victim,High
20251030-0438,Victim,High
20251030-0438,Witness,Medium
20251030-0439,Witness,High
20251030-0441,Witness,High
20251030-0441,Victim,Low
20251030-0441,Witness,Low
20251030-0443,Victim,Low
20251030-0443,Witness,High
20251030-0443,Witness,Medium
20251030-0443,Expert,Low
20251030-0444,Victim,Medium
20251030-0444,Witness,Low
20251030-0445,Victim,Low
20251030-0445,Expert,Medium
20251030-0447,Witness,Low
20251030-0449,Expert,High
20251030-0449,Witness,Low
20251030-0449,Expert,Low
20251030-0449,Expert,Medium
20251030-0450,Victim,Medium
20251030-0452,Victim,Low
20251030-0452,Witness,Medium
20251030-0453,Expert,Medium
20251030-0455,Victim,Medium
20251030-0455,Expert,High
20251030-0455,Victim,Low
20251030-0456,Expert,Low
20251030-0456,Expert,Low
20251030-0456,Expert,High
20251030-0460,Witness,Low
20251030-0460,Witness,Low
20251030-0460,Victim,High
20251030-0460,Expert,Medium
20251030-0461,Victim,Medium
20251030-0461,Witness,Low
20251030-0463,Expert,Low
20251030-0463,Victim,Medium
20251030-0463,Victim,Low
20251030-0463,Expert,High
20251030-0465,Expert,Medium
20251030-0465,Expert,Medium
20251030-0465,Victim,Low
20251030-0466,Witness,High
20251030-0466,Witness,Medium
20251030-0468,Victim,Medium
20251030-0468,Victim,High
20251030-0468,Expert,Low
20251030-0470,Witness,High
20251030-0472,Victim,Low
20251030-0472,Expert,Medium
20251030-0472,Witness,Low
20251030-0473,Victim,Medium
20251030-0473,Expert,Medium
20251030-0475,Victim,Low
20251030-0475,Victim,Low
20251030-0475,Victim,Medium
20251030-0477,Victim,Medium
20251030-0480,Victim,High
20251030-0480,Victim,Low
20251030-0480,Victim,Low
20251030-0480,Victim,Low
20251030-0482,Witness,High
20251030-0482,Victim,Low
20251030-0483,Witness,High
20251030-0483,Witness,High
20251030-0484,Victim,High
20251030-0484,Expert,Low
20251030-0484,Expert,Medium
20251030-0486,Victim,Medium
20251030-0486,Witness,Medium
20251030-0486,Witness,High
20251030-0487,Witness,High
20251030-0487,Victim,Medium
20251030-0488,Expert,Medium
20251030-0488,Witness,High
20251030-0489,Victim,Medium
20251030-0489,Expert,High
20251030-0489,Expert,High
20251030-0490,Witness,Medium
20251030-0490,Witness,Low
20251030-0490,Victim,High
20251030-0491,Witness,Medium
20251030-0491,Victim,High
20251030-0491,Witness,High
20251030-0493,Victim,High
20251030-0493,Witness,High
20251030-0493,Witness,Medium
20251030-0493,Victim,Low
20251030-0494,Victim,Medium
20251030-0494,Expert,Low
20251030-0496,Expert,Low
20251030-0499,Witness,Low
20251030-0499,Victim,Medium
20251030-0499,Witness,High
20251030-0499,Expert,High
20251030-0501,Witness,High
20251030-0501,Witness,High
20251030-0505,Witness,High
20251030-0510,Expert,Low
20251030-0513,Witness,Low
20251030-0514,Victim,Medium
20251030-0516,Witness,Low
20251030-0518,Victim,Low
20251030-0518,Victim,Low
20251030-0518,Expert,High
20251030-0520,Expert,High
20251030-0522,Witness,Medium
20251030-0522,Expert,Low
20251030-0522,Expert,Medium
20251030-0522,Victim,Medium
20251030-0523,Expert,Medium
20251030-0523,Victim,Medium
20251030-0523,Expert,High
20251030-0523,Expert,Medium
20251030-0526,Expert,High
20251030-0528,Victim,High
20251030-0528,Victim,High
20251030-0528,Witness,Low
20251030-0530,Victim,Low
20251030-0530,Expert,High
20251030-0531,Witness,High
20251030-0531,Expert,High
20251030-0531,Victim,High
20251030-0532,Witness,Medium
20251030-0532,Victim,Medium
20251030-0532,Expert,Medium
20251030-0532,Expert,Low
20251030-0534,Victim,Medium
20251030-0534,Victim,Medium
20251030-0536,Victim,Low
20251030-0536,Witness,Low
20251030-0536,Witness,High
20251030-0536,Victim,Medium
20251030-0540,Witness,Low
20251030-0540,Witness,Low
20251030-0540,Expert,High
20251030-0541,Witness,Low
20251030-0541,Victim,High
20251030-0543,Expert,Low
20251030-0543,Witness,High
20251030-0547,Expert,High
20251030-0547,Victim,Medium
20251030-0547,Expert,Low
20251030-0549,Expert,Medium
20251030-0552,Witness,High
20251030-0553,Expert,Medium
20251030-0553,Victim,High
20251030-0553,Witness,Low
20251030-0553,Expert,Medium
20251030-0555,Witness,Low
20251030-0555,Witness,Medium
20251030-0557,Expert,High
20251030-0558,Victim,Medium
20251030-0558,Victim,Medium
20251030-0558,Witness,Low
20251030-0559,Witness,High
20251030-0561,Expert,Low
20251030-0561,Victim,Low
20251030-0561,Victim,High
20251030-0563,Witness,High
20251030-0563,Witness,Low
20251030-0563,Victim,Medium
20251030-0564,Expert,Low
20251030-0564,Victim,High
20251030-0564,Witness,Medium
20251030-0565,Expert,High
20251030-0566,Witness,Medium
20251030-0566,Witness,Low
20251030-0567,Witness,High
20251030-0568,Victim,High
20251030-0568,Expert,Low
20251030-0568,Expert,High
20251030-0568,Witness,Medium
20251030-0569,Expert,Medium
20251030-0573,Witness,Low
20251030-0573,Witness,High
20251030-0573,Witness,High
20251030-0575,Victim,Medium
20251030-0575,Witness,Medium
20251030-0575,Victim,Medium
20251030-0576,Victim,Low
20251030-0576,Witness,Medium
20251030-0577,Victim,Low
20251030-0578,Witness,Low
20251030-0582,Expert,Low
20251030-0582,Witness,High
20251030-0584,Victim,High
20251030-0584,Expert,Low
20251030-0584,Expert,High
20251030-0585,Witness,Low
20251030-0587,Witness,Low
20251030-0587,Victim,Low
20251030-0587,Victim,Low
20251030-0587,Expert,High
20251030-0590,Expert,High
20251030-0590,Victim,Low
20251030-0590,Victim,High
20251030-0592,Expert,Low
20251030-0592,Victim,Low
20251030-0592,Victim,Medium
20251030-0593,Expert,Medium
20251030-0593,Expert,High
20251030-0595,Witness,Medium
20251030-0595,Expert,Low
20251030-0595,Expert,High
20251030-0595,Expert,High
20251030-0599,Witness,High
20251030-0601,Expert,Medium
20251030-0602,Victim,Low
20251030-0603,Expert,Low
20251030-0603,Victim,Low
20251030-0603,Victim,High
20251030-0603,Expert,Medium
20251030-0604,Expert,Low
20251030-0604,Victim,Low
20251030-0604,Victim,Medium
20251030-0604,Victim,Medium
20251030-0605,Expert,Medium
20251030-0605,Witness,High
20251030-0605,Expert,Low
20251030-0605,Witness,Medium
20251030-0606,Witness,Low
20251030-0607,Expert,High
20251030-0610,Witness,Medium
20251030-0610,Witness,Low
20251030-0613,Victim,Medium
20251030-0613,Witness,Medium
20251030-0614,Expert,Low
20251030-0614,Victim,High
20251030-0621,Expert,Low
20251030-0621,Witness,High
20251030-0621,Witness,Low
20251030-0621,Victim,Low
20251030-0623,Expert,High
20251030-0623,Witness,Medium
20251030-0623,Victim,Medium
20251030-0624,Witness,Medium
20251030-0626,Victim,Medium
20251030-0626,Expert,High
20251030-0626,Witness,Low
20251030-0628,Witness,Low
20251030-0628,Witness,Low
20251030-0628,Victim,Low
20251030-0628,Victim,High
20251030-0630,Witness,Low
20251030-0632,Witness,Medium
20251030-0632,Victim,Medium
20251030-0632,Expert,Medium
20251030-0634,Expert,Low
20251030-0634,Expert,Low
20251030-0634,Victim,High
20251030-0634,Victim,Low
20251030-0637,Victim,Medium
20251030-0637,Witness,Low
20251030-0637,Witness,Medium
20251030-0640,Victim,Low
20251030-0645,Expert,High
20251030-0645,Witness,Medium
20251030-0645,Expert,Low
20251030-0645,Expert,High
20251030-0648,Expert,High
20251030-0648,Expert,High
20251030-0648,Witness,Medium
20251030-0648,Victim,Medium
20251030-0649,Witness,Low
20251030-0649,Witness,High
20251030-0649,Witness,Low
20251030-0649,Witness,High
20251030-0651,Expert,Low
20251030-0652,Expert,Medium
20251030-0652,Expert,High
20251030-0652,Victim,High
20251030-0652,Victim,Low
20251030-0653,Witness,Low
20251030-0654,Expert,Medium
20251030-0654,Expert,Medium
20251030-0654,Victim,High
20251030-0654,Victim,Low
20251030-0655,Witness,High
20251030-0657,Witness,Medium
20251030-0657,Expert,Low
20251030-0658,Witness,High
20251030-0658,Victim,Low
20251030-0658,Witness,Low
20251030-0661,Victim,Medium
20251030-0661,Expert,Medium
20251030-0661,Expert,Low
20251030-0661,Expert,Medium
20251030-0662,Witness,Medium
20251030-0662,Victim,High
20251030-0662,Victim,High
20251030-0663,Victim,Low
20251030-0663,Witness,High
20251030-0665,Victim,High
20251030-0665,Victim,High
20251030-0665,Witness,Medium
20251030-0665,Witness,Medium
20251030-0666,Expert,Low
20251030-0666,Expert,Medium
20251030-0666,Victim,Medium
20251030-0666,Expert,Low
20251030-0668,Victim,High
20251030-0669,Expert,Medium
20251030-0669,Witness,High
20251030-0671,Expert,Low
20251030-0671,Expert,Medium
20251030-0672,Victim,Medium
20251030-0673,Victim,High
20251030-0673,Victim,Medium
20251030-0673,Witness,Low
20251030-0673,Victim,Low
20251030-0674,Witness,High
20251030-0674,Witness,High
20251030-0674,Expert,Medium
20251030-0676,Victim,High
20251030-0676,Witness,Medium
20251030-0677,Expert,Low
20251030-0677,Witness,High
20251030-0678,Expert,Low
20251030-0678,Expert,Medium
20251030-0678,Victim,Medium
20251030-0679,Victim,High
20251030-0679,Victim,High
20251030-0679,Victim,Medium
20251030-0681,Expert,Low
20251030-0681,Witness,Medium
20251030-0681,Expert,Low
20251030-0682,Victim,High
20251030-0682,Expert,Medium
20251030-0682,Victim,Medium
20251030-0682,Expert,Medium
20251030-0683,Witness,Medium
20251030-0683,Expert,High
20251030-0689,Witness,Low
20251030-0689,Expert,Low
20251030-0689,Victim,High
20251030-0690,Victim,High
20251030-0690,Witness,Medium
20251030-0690,Expert,Low
20251030-0690,Witness,Low
20251030-0693,Expert,Low
20251030-0693,Witness,Medium
20251030-0693,Expert,High
20251030-0695,Witness,Low
20251030-0695,Victim,High
20251030-0695,Victim,Low
20251030-0695,Witness,High
20251030-0696,Witness,High
20251030-0706,Victim,Medium
20251030-0708,Victim,Medium
20251030-0709,Expert,Medium
20251030-0709,Expert,Low
20251030-0710,Witness,High
20251030-0710,Victim,Low
20251030-0711,Witness,High
20251030-0711,Expert,Low
20251030-0711,Victim,Medium
20251030-0712,Expert,Low
20251030-0712,Witness,High
20251030-0712,Witness,Low
20251030-0712,Expert,Low
20251030-0713,Expert,Low
