case_id,investigation_type,investigation_date,findings
20251030-0020,Initial,2023-11-14 02:23:27,Investigation findings for case 20251030-0020
20251030-0021,Initial,2023-05-05 21:01:10,Investigation findings for case 20251030-0021
20251030-0021,Initial,2023-04-15 21:01:10,Investigation findings for case 20251030-0021
20251030-0021,Evidence Collection,2023-05-05 21:01:10,Investigation findings for case 20251030-0021
20251030-0021,Interview,2023-04-11 21:01:10,Investigation findings for case 20251030-0021
20251030-0021,Follow-up,2023-05-03 21:01:10,Investigation findings for case 20251030-0021
20251030-0023,Follow-up,2024-12-03 16:48:36,Investigation findings for case 20251030-0023
20251030-0023,Interview,2024-12-03 16:48:36,Investigation findings for case 20251030-0023
20251030-0027,Initial,2023-09-05 18:47:57,Investigation findings for case 20251030-0027
20251030-0028,Follow-up,2024-08-05 21:04:49,Investigation findings for case 20251030-0028
20251030-0028,Initial,2024-08-07 21:04:49,Investigation findings for case 20251030-0028
20251030-0028,Interview,2024-08-23 21:04:49,Investigation findings for case 20251030-0028
20251030-0028,Evidence Collection,2024-08-17 21:04:49,Investigation findings for case 20251030-0028
20251030-0028,Evidence Collection,2024-08-24 21:04:49,Investigation findings for case 20251030-0028
20251030-0035,Evidence Collection,2023-11-26 04:34:35,Investigation findings for case 20251030-0035
20251030-0035,Initial,2023-11-23 04:34:35,Investigation findings for case 20251030-0035
20251030-0035,Initial,2023-12-07 04:34:35,Investigation findings for case 20251030-0035
20251030-0035,Evidence Collection,2023-11-28 04:34:35,Investigation findings for case 20251030-0035
20251030-0035,Follow-up,2023-11-22 04:34:35,Investigation findings for case 20251030-0035
20251030-0041,Initial,2025-01-07 11:38:32,Investigation findings for case 20251030-0041
20251030-0041,Initial,2024-12-22 11:38:32,Investigation findings for case 20251030-0041
20251030-0041,Follow-up,2024-12-27 11:38:32,Investigation findings for case 20251030-0041
20251030-0042,Evidence Collection,2024-01-13 06:51:42,Investigation findings for case 20251030-0042
20251030-0042,Follow-up,2024-01-18 06:51:42,Investigation findings for case 20251030-0042
20251030-0042,Follow-up,2024-02-04 06:51:42,Investigation findings for case 20251030-0042
20251030-0042,Follow-up,2024-02-06 06:51:42,Investigation findings for case 20251030-0042
20251030-0044,Evidence Collection,2023-07-13 07:31:24,Investigation findings for case 20251030-0044
20251030-0044,Evidence Collection,2023-07-09 07:31:24,Investigation findings for case 20251030-0044
20251030-0044,Interview,2023-07-16 07:31:24,Investigation findings for case 20251030-0044
20251030-0044,Initial,2023-07-11 07:31:24,Investigation findings for case 20251030-0044
20251030-0044,Interview,2023-06-25 07:31:24,Investigation findings for case 20251030-0044
20251030-0045,Interview,2024-02-17 16:24:17,Investigation findings for case 20251030-0045
20251030-0045,Follow-up,2024-03-07 16:24:17,Investigation findings for case 20251030-0045
20251030-0046,Initial,2023-03-06 21:00:34,Investigation findings for case 20251030-0046
20251030-0046,Follow-up,2023-03-20 21:00:34,Investigation findings for case 20251030-0046
20251030-0048,Follow-up,2024-04-06 19:45:59,Investigation findings for case 20251030-0048
20251030-0048,Evidence Collection,2024-03-26 19:45:59,Investigation findings for case 20251030-0048
20251030-0048,Evidence Collection,2024-04-10 19:45:59,Investigation findings for case 20251030-0048
20251030-0048,Evidence Collection,2024-03-21 19:45:59,Investigation findings for case 20251030-0048
20251030-0049,Follow-up,2024-09-23 17:02:11,Investigation findings for case 20251030-0049
20251030-0049,Interview,2024-10-08 17:02:11,Investigation findings for case 20251030-0049
20251030-0049,Evidence Collection,2024-09-22 17:02:11,Investigation findings for case 20251030-0049
20251030-0049,Initial,2024-10-01 17:02:11,Investigation findings for case 20251030-0049
20251030-0051,Interview,2024-06-22 17:43:10,Investigation findings for case 20251030-0051
20251030-0051,Interview,2024-06-19 17:43:10,Investigation findings for case 20251030-0051
20251030-0051,Follow-up,2024-06-27 17:43:10,Investigation findings for case 20251030-0051
20251030-0051,Interview,2024-06-30 17:43:10,Investigation findings for case 20251030-0051
20251030-0051,Interview,2024-06-20 17:43:10,Investigation findings for case 20251030-0051
20251030-0054,Initial,2024-05-18 18:42:07,Investigation findings for case 20251030-0054
20251030-0054,Interview,2024-05-26 18:42:07,Investigation findings for case 20251030-0054
20251030-0054,Interview,2024-06-06 18:42:07,Investigation findings for case 20251030-0054
20251030-0055,Interview,2024-06-24 08:45:25,Investigation findings for case 20251030-0055
20251030-0055,Follow-up,2024-07-01 08:45:25,Investigation findings for case 20251030-0055
20251030-0056,Interview,2024-06-14 13:49:18,Investigation findings for case 20251030-0056
20251030-0058,Interview,2023-09-29 13:56:27,Investigation findings for case 20251030-0058
20251030-0058,Follow-up,2023-09-29 13:56:27,Investigation findings for case 20251030-0058
20251030-0058,Evidence Collection,2023-09-20 13:56:27,Investigation findings for case 20251030-0058
20251030-0061,Initial,2024-12-07 13:45:18,Investigation findings for case 20251030-0061
20251030-0061,Interview,2024-12-31 13:45:18,Investigation findings for case 20251030-0061
20251030-0061,Initial,2025-01-04 13:45:18,Investigation findings for case 20251030-0061
20251030-0061,Initial,2024-12-07 13:45:18,Investigation findings for case 20251030-0061
20251030-0061,Follow-up,2024-12-15 13:45:18,Investigation findings for case 20251030-0061
20251030-0062,Initial,2024-06-25 20:22:10,Investigation findings for case 20251030-0062
20251030-0064,Evidence Collection,2024-05-28 05:25:17,Investigation findings for case 20251030-0064
20251030-0064,Follow-up,2024-05-21 05:25:17,Investigation findings for case 20251030-0064
20251030-0064,Evidence Collection,2024-06-02 05:25:17,Investigation findings for case 20251030-0064
20251030-0064,Interview,2024-05-26 05:25:17,Investigation findings for case 20251030-0064
20251030-0065,Initial,2023-10-10 05:37:10,Investigation findings for case 20251030-0065
20251030-0065,Follow-up,2023-10-18 05:37:10,Investigation findings for case 20251030-0065
20251030-0066,Interview,2023-04-18 19:32:33,Investigation findings for case 20251030-0066
20251030-0068,Evidence Collection,2024-07-08 21:26:28,Investigation findings for case 20251030-0068
20251030-0068,Interview,2024-08-04 21:26:28,Investigation findings for case 20251030-0068
20251030-0068,Interview,2024-08-05 21:26:28,Investigation findings for case 20251030-0068
20251030-0068,Interview,2024-07-22 21:26:28,Investigation findings for case 20251030-0068
20251030-0069,Follow-up,2023-11-02 12:22:12,Investigation findings for case 20251030-0069
20251030-0069,Evidence Collection,2023-11-22 12:22:12,Investigation findings for case 20251030-0069
20251030-0069,Initial,2023-11-19 12:22:12,Investigation findings for case 20251030-0069
20251030-0073,Interview,2024-09-18 18:26:58,Investigation findings for case 20251030-0073
20251030-0073,Interview,2024-09-28 18:26:58,Investigation findings for case 20251030-0073
20251030-0073,Follow-up,2024-09-05 18:26:58,Investigation findings for case 20251030-0073
20251030-0073,Initial,2024-09-05 18:26:58,Investigation findings for case 20251030-0073
20251030-0073,Evidence Collection,2024-09-09 18:26:58,Investigation findings for case 20251030-0073
20251030-0074,Initial,2023-07-25 07:49:28,Investigation findings for case 20251030-0074
20251030-0074,Interview,2023-07-19 07:49:28,Investigation findings for case 20251030-0074
20251030-0074,Follow-up,2023-07-11 07:49:28,Investigation findings for case 20251030-0074
20251030-0074,Initial,2023-07-03 07:49:28,Investigation findings for case 20251030-0074
20251030-0074,Follow-up,2023-07-26 07:49:28,Investigation findings for case 20251030-0074
20251030-0075,Interview,2023-11-30 10:18:59,Investigation findings for case 20251030-0075
20251030-0075,Evidence Collection,2023-11-21 10:18:59,Investigation findings for case 20251030-0075
20251030-0075,Follow-up,2023-12-05 10:18:59,Investigation findings for case 20251030-0075
20251030-0075,Interview,2023-11-10 10:18:59,Investigation findings for case 20251030-0075
20251030-0076,Evidence Collection,2023-04-05 04:20:54,Investigation findings for case 20251030-0076
20251030-0076,Interview,2023-03-14 04:20:54,Investigation findings for case 20251030-0076
20251030-0076,Evidence Collection,2023-04-04 04:20:54,Investigation findings for case 20251030-0076
20251030-0078,Interview,2024-12-04 21:52:16,Investigation findings for case 20251030-0078
20251030-0078,Follow-up,2024-12-04 21:52:16,Investigation findings for case 20251030-0078
20251030-0078,Evidence Collection,2024-11-23 21:52:16,Investigation findings for case 20251030-0078
20251030-0078,Initial,2024-12-08 21:52:16,Investigation findings for case 20251030-0078
20251030-0078,Interview,2024-11-28 21:52:16,Investigation findings for case 20251030-0078
20251030-0080,Interview,2024-01-23 20:22:18,Investigation findings for case 20251030-0080
20251030-0080,Follow-up,2024-01-05 20:22:18,Investigation findings for case 20251030-0080
20251030-0080,Interview,2024-01-17 20:22:18,Investigation findings for case 20251030-0080
20251030-0081,Evidence Collection,2024-11-03 21:26:34,Investigation findings for case 20251030-0081
20251030-0081,Initial,2024-11-11 21:26:34,Investigation findings for case 20251030-0081
20251030-0081,Interview,2024-10-18 21:26:34,Investigation findings for case 20251030-0081
20251030-0081,Interview,2024-10-28 21:26:34,Investigation findings for case 20251030-0081
20251030-0083,Follow-up,2023-10-27 13:00:25,Investigation findings for case 20251030-0083
20251030-0083,Follow-up,2023-11-11 13:00:25,Investigation findings for case 20251030-0083
20251030-0083,Interview,2023-10-31 13:00:25,Investigation findings for case 20251030-0083
20251030-0083,Interview,2023-10-22 13:00:25,Investigation findings for case 20251030-0083
20251030-0083,Follow-up,2023-11-13 13:00:25,Investigation findings for case 20251030-0083
20251030-0084,Initial,2024-10-16 19:15:24,Investigation findings for case 20251030-0084
20251030-0084,Initial,2024-11-02 19:15:24,Investigation findings for case 20251030-0084
20251030-0084,Follow-up,2024-10-18 19:15:24,Investigation findings for case 20251030-0084
20251030-0085,Evidence Collection,2024-08-26 19:57:09,Investigation findings for case 20251030-0085
20251030-0085,Follow-up,2024-08-31 19:57:09,Investigation findings for case 20251030-0085
20251030-0085,Follow-up,2024-08-31 19:57:09,Investigation findings for case 20251030-0085
20251030-0087,Evidence Collection,2023-11-09 13:56:18,Investigation findings for case 20251030-0087
20251030-0087,Follow-up,2023-11-10 13:56:18,Investigation findings for case 20251030-0087
20251030-0088,Initial,2023-04-15 15:19:12,Investigation findings for case 20251030-0088
20251030-0088,Initial,2023-04-15 15:19:12,Investigation findings for case 20251030-0088
20251030-0088,Initial,2023-03-30 15:19:12,Investigation findings for case 20251030-0088
20251030-0090,Follow-up,2024-09-20 05:43:58,Investigation findings for case 20251030-0090
20251030-0091,Initial,2024-11-20 19:53:44,Investigation findings for case 20251030-0091
20251030-0091,Interview,2024-12-14 19:53:44,Investigation findings for case 20251030-0091
20251030-0091,Initial,2024-11-18 19:53:44,Investigation findings for case 20251030-0091
20251030-0091,Evidence Collection,2024-11-21 19:53:44,Investigation findings for case 20251030-0091
20251030-0095,Interview,2023-11-09 20:09:01,Investigation findings for case 20251030-0095
20251030-0095,Follow-up,2023-11-25 20:09:01,Investigation findings for case 20251030-0095
20251030-0096,Evidence Collection,2023-07-25 20:07:26,Investigation findings for case 20251030-0096
20251030-0096,Interview,2023-06-30 20:07:26,Investigation findings for case 20251030-0096
20251030-0099,Evidence Collection,2024-10-30 19:27:34,Investigation findings for case 20251030-0099
20251030-0099,Evidence Collection,2024-10-05 19:27:34,Investigation findings for case 20251030-0099
20251030-0100,Interview,2024-08-22 11:29:07,Investigation findings for case 20251030-0100
20251030-0100,Interview,2024-07-26 11:29:07,Investigation findings for case 20251030-0100
20251030-0100,Interview,2024-08-09 11:29:07,Investigation findings for case 20251030-0100
20251030-0100,Interview,2024-08-17 11:29:07,Investigation findings for case 20251030-0100
20251030-0101,Follow-up,2024-06-12 03:14:19,Investigation findings for case 20251030-0101
20251030-0101,Initial,2024-05-30 03:14:19,Investigation findings for case 20251030-0101
20251030-0101,Evidence Collection,2024-05-24 03:14:19,Investigation findings for case 20251030-0101
20251030-0101,Initial,2024-06-15 03:14:19,Investigation findings for case 20251030-0101
20251030-0103,Initial,2023-04-04 18:58:26,Investigation findings for case 20251030-0103
20251030-0103,Follow-up,2023-04-02 18:58:26,Investigation findings for case 20251030-0103
20251030-0104,Interview,2023-03-11 22:59:02,Investigation findings for case 20251030-0104
20251030-0105,Initial,2024-04-13 20:29:14,Investigation findings for case 20251030-0105
20251030-0105,Follow-up,2024-04-19 20:29:14,Investigation findings for case 20251030-0105
20251030-0106,Initial,2023-07-06 20:57:58,Investigation findings for case 20251030-0106
20251030-0106,Evidence Collection,2023-07-10 20:57:58,Investigation findings for case 20251030-0106
20251030-0106,Initial,2023-07-11 20:57:58,Investigation findings for case 20251030-0106
20251030-0106,Interview,2023-06-24 20:57:58,Investigation findings for case 20251030-0106
20251030-0107,Evidence Collection,2024-07-07 21:38:07,Investigation findings for case 20251030-0107
20251030-0107,Initial,2024-07-19 21:38:07,Investigation findings for case 20251030-0107
20251030-0107,Interview,2024-07-14 21:38:07,Investigation findings for case 20251030-0107
20251030-0107,Interview,2024-07-09 21:38:07,Investigation findings for case 20251030-0107
20251030-0109,Interview,2023-11-09 10:05:57,Investigation findings for case 20251030-0109
20251030-0110,Interview,2024-12-21 14:50:01,Investigation findings for case 20251030-0110
20251030-0110,Interview,2024-12-28 14:50:01,Investigation findings for case 20251030-0110
20251030-0110,Evidence Collection,2025-01-06 14:50:01,Investigation findings for case 20251030-0110
20251030-0110,Evidence Collection,2024-12-17 14:50:01,Investigation findings for case 20251030-0110
20251030-0110,Interview,2024-12-28 14:50:01,Investigation findings for case 20251030-0110
20251030-0111,Interview,2024-01-03 19:53:27,Investigation findings for case 20251030-0111
20251030-0111,Follow-up,2024-01-03 19:53:27,Investigation findings for case 20251030-0111
20251030-0111,Interview,2024-01-06 19:53:27,Investigation findings for case 20251030-0111
20251030-0111,Initial,2023-12-31 19:53:27,Investigation findings for case 20251030-0111
20251030-0112,Follow-up,2023-01-17 12:46:19,Investigation findings for case 20251030-0112
20251030-0113,Evidence Collection,2023-10-29 18:28:53,Investigation findings for case 20251030-0113
20251030-0113,Follow-up,2023-11-12 18:28:53,Investigation findings for case 20251030-0113
20251030-0113,Evidence Collection,2023-11-14 18:28:53,Investigation findings for case 20251030-0113
20251030-0113,Initial,2023-11-15 18:28:53,Investigation findings for case 20251030-0113
20251030-0114,Follow-up,2024-10-12 20:52:10,Investigation findings for case 20251030-0114
20251030-0114,Follow-up,2024-10-20 20:52:10,Investigation findings for case 20251030-0114
20251030-0115,Interview,2023-06-13 01:25:45,Investigation findings for case 20251030-0115
20251030-0115,Follow-up,2023-06-24 01:25:45,Investigation findings for case 20251030-0115
20251030-0116,Follow-up,2023-10-31 07:48:58,Investigation findings for case 20251030-0116
20251030-0116,Evidence Collection,2023-10-27 07:48:58,Investigation findings for case 20251030-0116
20251030-0116,Follow-up,2023-10-26 07:48:58,Investigation findings for case 20251030-0116
20251030-0116,Follow-up,2023-10-21 07:48:58,Investigation findings for case 20251030-0116
20251030-0116,Follow-up,2023-10-25 07:48:58,Investigation findings for case 20251030-0116
20251030-0118,Interview,2024-05-15 19:57:23,Investigation findings for case 20251030-0118
20251030-0119,Initial,2024-06-28 13:41:58,Investigation findings for case 20251030-0119
20251030-0119,Interview,2024-06-29 13:41:58,Investigation findings for case 20251030-0119
20251030-0119,Initial,2024-07-17 13:41:58,Investigation findings for case 20251030-0119
20251030-0120,Evidence Collection,2023-03-14 16:30:27,Investigation findings for case 20251030-0120
20251030-0120,Initial,2023-03-10 16:30:27,Investigation findings for case 20251030-0120
20251030-0120,Initial,2023-03-17 16:30:27,Investigation findings for case 20251030-0120
20251030-0121,Evidence Collection,2024-07-29 17:56:49,Investigation findings for case 20251030-0121
20251030-0121,Follow-up,2024-08-12 17:56:49,Investigation findings for case 20251030-0121
20251030-0121,Interview,2024-08-06 17:56:49,Investigation findings for case 20251030-0121
20251030-0121,Follow-up,2024-08-05 17:56:49,Investigation findings for case 20251030-0121
20251030-0122,Evidence Collection,2023-02-27 07:00:21,Investigation findings for case 20251030-0122
20251030-0122,Initial,2023-03-13 07:00:21,Investigation findings for case 20251030-0122
20251030-0122,Follow-up,2023-03-15 07:00:21,Investigation findings for case 20251030-0122
20251030-0122,Initial,2023-03-14 07:00:21,Investigation findings for case 20251030-0122
20251030-0123,Initial,2023-10-17 17:21:55,Investigation findings for case 20251030-0123
20251030-0123,Evidence Collection,2023-11-07 17:21:55,Investigation findings for case 20251030-0123
20251030-0123,Interview,2023-10-25 17:21:55,Investigation findings for case 20251030-0123
20251030-0124,Interview,2024-04-16 05:31:24,Investigation findings for case 20251030-0124
20251030-0124,Follow-up,2024-04-14 05:31:24,Investigation findings for case 20251030-0124
20251030-0124,Evidence Collection,2024-04-24 05:31:24,Investigation findings for case 20251030-0124
20251030-0124,Evidence Collection,2024-04-10 05:31:24,Investigation findings for case 20251030-0124
20251030-0124,Initial,2024-04-10 05:31:24,Investigation findings for case 20251030-0124
20251030-0125,Evidence Collection,2023-06-02 07:45:06,Investigation findings for case 20251030-0125
20251030-0125,Initial,2023-05-12 07:45:06,Investigation findings for case 20251030-0125
20251030-0128,Initial,2024-01-21 19:33:19,Investigation findings for case 20251030-0128
20251030-0128,Interview,2024-02-07 19:33:19,Investigation findings for case 20251030-0128
20251030-0130,Follow-up,2023-07-03 03:51:13,Investigation findings for case 20251030-0130
20251030-0131,Evidence Collection,2023-08-03 19:19:18,Investigation findings for case 20251030-0131
20251030-0131,Interview,2023-08-17 19:19:18,Investigation findings for case 20251030-0131
20251030-0131,Evidence Collection,2023-08-04 19:19:18,Investigation findings for case 20251030-0131
20251030-0131,Evidence Collection,2023-08-25 19:19:18,Investigation findings for case 20251030-0131
20251030-0131,Evidence Collection,2023-08-10 19:19:18,Investigation findings for case 20251030-0131
20251030-0133,Interview,2024-05-04 07:25:03,Investigation findings for case 20251030-0133
20251030-0133,Follow-up,2024-05-06 07:25:03,Investigation findings for case 20251030-0133
20251030-0133,Interview,2024-05-25 07:25:03,Investigation findings for case 20251030-0133
20251030-0136,Evidence Collection,2023-08-03 01:14:11,Investigation findings for case 20251030-0136
20251030-0136,Initial,2023-07-22 01:14:11,Investigation findings for case 20251030-0136
20251030-0136,Evidence Collection,2023-07-16 01:14:11,Investigation findings for case 20251030-0136
20251030-0137,Follow-up,2024-09-06 08:17:38,Investigation findings for case 20251030-0137
20251030-0137,Initial,2024-09-15 08:17:38,Investigation findings for case 20251030-0137
20251030-0137,Interview,2024-09-28 08:17:38,Investigation findings for case 20251030-0137
20251030-0137,Interview,2024-09-26 08:17:38,Investigation findings for case 20251030-0137
20251030-0137,Interview,2024-09-25 08:17:38,Investigation findings for case 20251030-0137
20251030-0139,Evidence Collection,2023-11-18 16:48:24,Investigation findings for case 20251030-0139
20251030-0139,Evidence Collection,2023-11-21 16:48:24,Investigation findings for case 20251030-0139
20251030-0139,Initial,2023-12-02 16:48:24,Investigation findings for case 20251030-0139
20251030-0139,Follow-up,2023-11-17 16:48:24,Investigation findings for case 20251030-0139
20251030-0141,Interview,2024-06-16 23:43:54,Investigation findings for case 20251030-0141
20251030-0142,Follow-up,2024-09-26 19:11:47,Investigation findings for case 20251030-0142
20251030-0142,Initial,2024-10-14 19:11:47,Investigation findings for case 20251030-0142
20251030-0142,Evidence Collection,2024-09-27 19:11:47,Investigation findings for case 20251030-0142
20251030-0143,Initial,2024-04-25 06:08:31,Investigation findings for case 20251030-0143
20251030-0143,Initial,2024-04-23 06:08:31,Investigation findings for case 20251030-0143
20251030-0146,Initial,2024-01-08 06:28:17,Investigation findings for case 20251030-0146
20251030-0146,Follow-up,2024-01-11 06:28:17,Investigation findings for case 20251030-0146
20251030-0146,Follow-up,2024-01-18 06:28:17,Investigation findings for case 20251030-0146
20251030-0146,Interview,2024-01-22 06:28:17,Investigation findings for case 20251030-0146
20251030-0146,Interview,2024-01-18 06:28:17,Investigation findings for case 20251030-0146
20251030-0148,Follow-up,2023-07-23 23:07:18,Investigation findings for case 20251030-0148
20251030-0148,Interview,2023-07-26 23:07:18,Investigation findings for case 20251030-0148
20251030-0148,Evidence Collection,2023-08-01 23:07:18,Investigation findings for case 20251030-0148
20251030-0148,Interview,2023-07-27 23:07:18,Investigation findings for case 20251030-0148
20251030-0148,Evidence Collection,2023-07-24 23:07:18,Investigation findings for case 20251030-0148
20251030-0149,Interview,2024-07-30 17:36:45,Investigation findings for case 20251030-0149
20251030-0149,Evidence Collection,2024-07-22 17:36:45,Investigation findings for case 20251030-0149
20251030-0150,Follow-up,2023-03-15 16:34:23,Investigation findings for case 20251030-0150
20251030-0150,Initial,2023-03-13 16:34:23,Investigation findings for case 20251030-0150
20251030-0150,Follow-up,2023-03-10 16:34:23,Investigation findings for case 20251030-0150
20251030-0150,Follow-up,2023-03-26 16:34:23,Investigation findings for case 20251030-0150
20251030-0151,Evidence Collection,2024-09-05 00:22:31,Investigation findings for case 20251030-0151
20251030-0151,Evidence Collection,2024-09-19 00:22:31,Investigation findings for case 20251030-0151
20251030-0151,Follow-up,2024-09-10 00:22:31,Investigation findings for case 20251030-0151
20251030-0151,Interview,2024-09-10 00:22:31,Investigation findings for case 20251030-0151
20251030-0151,Initial,2024-09-04 00:22:31,Investigation findings for case 20251030-0151
20251030-0152,Follow-up,2024-09-02 16:28:54,Investigation findings for case 20251030-0152
20251030-0153,Initial,2023-07-08 22:08:40,Investigation findings for case 20251030-0153
20251030-0154,Evidence Collection,2023-09-15 17:54:50,Investigation findings for case 20251030-0154
20251030-0154,Evidence Collection,2023-10-10 17:54:50,Investigation findings for case 20251030-0154
20251030-0156,Interview,2024-07-22 07:49:10,Investigation findings for case 20251030-0156
20251030-0156,Follow-up,2024-07-20 07:49:10,Investigation findings for case 20251030-0156
20251030-0157,Interview,2023-05-30 17:29:04,Investigation findings for case 20251030-0157
20251030-0158,Evidence Collection,2024-10-22 04:51:13,Investigation findings for case 20251030-0158
20251030-0158,Follow-up,2024-11-07 04:51:13,Investigation findings for case 20251030-0158
20251030-0158,Initial,2024-10-22 04:51:13,Investigation findings for case 20251030-0158
20251030-0158,Initial,2024-11-08 04:51:13,Investigation findings for case 20251030-0158
20251030-0158,Interview,2024-11-04 04:51:13,Investigation findings for case 20251030-0158
20251030-0159,Evidence Collection,2024-03-17 07:15:12,Investigation findings for case 20251030-0159
20251030-0159,Follow-up,2024-03-21 07:15:12,Investigation findings for case 20251030-0159
20251030-0160,Follow-up,2024-06-05 07:22:46,Investigation findings for case 20251030-0160
20251030-0161,Initial,2024-03-31 15:53:09,Investigation findings for case 20251030-0161
20251030-0161,Interview,2024-03-25 15:53:09,Investigation findings for case 20251030-0161
20251030-0161,Evidence Collection,2024-04-10 15:53:09,Investigation findings for case 20251030-0161
20251030-0162,Interview,2024-10-18 17:10:27,Investigation findings for case 20251030-0162
20251030-0162,Interview,2024-11-06 17:10:27,Investigation findings for case 20251030-0162
20251030-0162,Interview,2024-10-11 17:10:27,Investigation findings for case 20251030-0162
20251030-0163,Evidence Collection,2025-01-01 19:02:10,Investigation findings for case 20251030-0163
20251030-0163,Interview,2025-01-13 19:02:10,Investigation findings for case 20251030-0163
20251030-0165,Interview,2024-01-05 21:36:44,Investigation findings for case 20251030-0165
20251030-0165,Follow-up,2024-01-15 21:36:44,Investigation findings for case 20251030-0165
20251030-0166,Evidence Collection,2024-06-21 19:03:45,Investigation findings for case 20251030-0166
20251030-0166,Evidence Collection,2024-06-26 19:03:45,Investigation findings for case 20251030-0166
20251030-0166,Follow-up,2024-07-07 19:03:45,Investigation findings for case 20251030-0166
20251030-0171,Interview,2024-11-08 16:21:21,Investigation findings for case 20251030-0171
20251030-0171,Initial,2024-12-04 16:21:21,Investigation findings for case 20251030-0171
20251030-0171,Follow-up,2024-11-30 16:21:21,Investigation findings for case 20251030-0171
20251030-0171,Interview,2024-12-04 16:21:21,Investigation findings for case 20251030-0171
20251030-0173,Interview,2023-08-02 19:16:03,Investigation findings for case 20251030-0173
20251030-0173,Evidence Collection,2023-08-07 19:16:03,Investigation findings for case 20251030-0173
20251030-0173,Initial,2023-08-25 19:16:03,Investigation findings for case 20251030-0173
20251030-0173,Evidence Collection,2023-08-11 19:16:03,Investigation findings for case 20251030-0173
20251030-0174,Interview,2023-01-13 08:35:56,Investigation findings for case 20251030-0174
20251030-0174,Initial,2023-01-08 08:35:56,Investigation findings for case 20251030-0174
20251030-0174,Evidence Collection,2023-01-28 08:35:56,Investigation findings for case 20251030-0174
20251030-0175,Initial,2024-11-10 07:20:43,Investigation findings for case 20251030-0175
20251030-0175,Interview,2024-10-29 07:20:43,Investigation findings for case 20251030-0175
20251030-0175,Follow-up,2024-11-07 07:20:43,Investigation findings for case 20251030-0175
