case_id,evidence_type,collection_date,status
20251030-0366,Physical,2024-08-16 07:36:07,Collected
20251030-0368,Document,2024-08-30 22:44:48,In Analysis
20251030-0368,Digital,2024-09-03 22:44:48,In Analysis
20251030-0369,Photographic,2023-01-15 15:38:48,Analyzed
20251030-0369,Photographic,2023-01-16 15:38:48,Analyzed
20251030-0370,Photographic,2023-04-03 10:05:16,Collected
20251030-0370,Document,2023-04-02 10:05:16,Collected
20251030-0370,Digital,2023-04-05 10:05:16,In Analysis
20251030-0370,Digital,2023-04-02 10:05:16,Analyzed
20251030-0371,Digital,2023-03-22 05:49:32,Collected
20251030-0371,Photographic,2023-03-22 05:49:32,In Analysis
20251030-0371,Photographic,2023-03-26 05:49:32,Collected
20251030-0371,Photographic,2023-03-23 05:49:32,Collected
20251030-0372,Photographic,2024-10-04 15:35:19,In Analysis
20251030-0372,Digital,2024-10-09 15:35:19,In Analysis
20251030-0372,Digital,2024-10-03 15:35:19,In Analysis
20251030-0373,Digital,2024-07-18 07:26:12,Collected
20251030-0373,Physical,2024-07-16 07:26:12,Analyzed
20251030-0373,Physical,2024-07-12 07:26:12,Collected
20251030-0373,Document,2024-07-20 07:26:12,In Analysis
20251030-0377,Physical,2024-09-01 18:37:54,In Analysis
20251030-0377,Document,2024-09-03 18:37:54,In Analysis
20251030-0377,Digital,2024-09-02 18:37:54,Analyzed
20251030-0377,Digital,2024-08-24 18:37:54,Analyzed
20251030-0378,Photographic,2024-09-30 02:22:14,Analyzed
20251030-0378,Digital,2024-09-26 02:22:14,In Analysis
20251030-0381,Document,2023-10-24 16:33:49,Collected
20251030-0382,Physical,2024-08-11 18:15:45,Collected
20251030-0382,Digital,2024-08-10 18:15:45,Collected
20251030-0382,Digital,2024-08-11 18:15:45,In Analysis
20251030-0383,Digital,2023-06-28 21:48:14,Analyzed
20251030-0383,Digital,2023-06-29 21:48:14,Collected
20251030-0383,Photographic,2023-06-27 21:48:14,In Analysis
20251030-0383,Document,2023-06-26 21:48:14,Analyzed
20251030-0384,Document,2024-10-28 23:21:38,Analyzed
